program,invoke_count,compute_units,avg_cu
675kPX9MHTjS2zt1qfr1NYHuzeLXfQM9H24wFSUt1Mp8,34,2135032,62795
mv3ekLzLbnVPNxjSKvqBpU3ZeZXPQdEC3bp5MDEBG68,79,1389620,17590
9xQeWvG816bUx9EPjHmaT23yvVM2ZWbrrpZb9PusVFin,148,987396,6671
FsJ3A3u2vn5cTVofAjvy6y5kwABJAqYWpe4975bi2epH,314,776619,2473
DtmE9D2CSB4L5D6A15mraeEjrGMm6auWVzgaD8hK2tZM,11,742709,67519
TokenkegQfeZyiNwAJbNbGKPFXCWuBvf9Ss623VQ5DA,122,377710,3095
ATokenGPvbdGVxr1b2hvZbsiqW5xWH25efTNsLJA8knL,6,155044,25840
R2y9ip6mxmWUj4pt54jP2hz2dgvMozy9VTSwMWE7evs,4,140166,35041
DzpARSggzEgNc2HLdrMEguSf9KGPh5RG1NMBqNnF8ZuU,7,86129,12304
2nAAsYdXF3eTQzaeUQS3fr4o782dDg8L28mX39Wr5j8N,1,69428,69428
3rVEgTR97opXeV2DPaHbyj4MTXbTWcQ3eeUcgdcmKkyT,2,59263,29631
CJsLwbP1iu5DuUikHEJnLfANgKy6stB2uFgvBBHoyxwz,2,56464,28232
FjJ5mhdRWeuaaremiHjeQextaAw1sKWDqr3D7pXjgztv,1,40565,40565
9KEPoZmtHUrBbhWN1v1KWLMkkvwY6WLtAVUCPRtRjP4z,1,38900,38900
sermFpEJuEvy1WC7G4xRxUEYmZUGc51KVh1rhnvMVTN,1,21654,21654
7K3UpbZViPnQDLn2DAM853B9J5GBxd1L1rLHy4KqSmWG,1,15182,15182
J21zqcffYQU2NUJrvAKhqpKZLQK1YaB9dY5kmcxkMQvQ,1,11312,11312
5mpjDRgoRYRmSnAXZTfB2bBkbpwvRjobXUjb4WYjF225,1,5660,5660
Memo1UhkJRfHyvLMcVucJwxXeuD728EqVDDwQDxFMNo,14,5236,374
DeJBGdMFa1uynnnKiwrVioatTuHmNLpyFKnmB5kaFdzQ,1,578,578
Total Non-Vote Invokes,751,7114667,9473
Total Votes,980,,
Total Invokes & Votes,1731,,